time,condition_type,condition_value,area_bin,frequency
day1,temperature,26,550,0.0076605774896876
day1,temperature,26,650,0.0090355529365547
day1,temperature,26,750,0.010803378511098
day1,temperature,26,850,0.0080534276173639
day1,temperature,26,950,0.0115890787664505
day1,temperature,26,1050,0.012178353957965
day1,temperature,26,1150,0.0151247299155372
day1,temperature,26,1250,0.031035160086427
day1,temperature,26,1350,0.0302494598310744
day1,temperature,26,1450,0.0459634649381261
day1,temperature,26,1550,0.0559811431938715
day1,temperature,26,1650,0.0665880966411314
day1,temperature,26,1750,0.0752307994500098
day1,temperature,26,1850,0.0826949518758593
day1,temperature,26,1950,0.0807307012374779
day1,temperature,26,2050,0.0768021999607149
day1,temperature,26,2150,0.0777843252799057
day1,temperature,26,2250,0.0652131211942643
day1,temperature,26,2350,0.0589275191514437
day1,temperature,26,2450,0.0493026910233745
day1,temperature,26,2550,0.0331958357886466
day1,temperature,26,2650,0.0282852091926929
day1,temperature,26,2750,0.0221960322137104
day1,temperature,26,2850,0.0151247299155372
day1,temperature,26,2950,0.0092319780003928
day1,temperature,26,3050,0.0070713022981732
day1,temperature,26,3150,0.0064820271066588
day1,temperature,26,3250,0.0031428010214103
day1,temperature,26,3350,0.0023571007660577
day1,temperature,26,3450,0.0019642506383814
day2,temperature,26,550,0.0112877776429178
day2,temperature,26,650,0.0120160213618157
day2,temperature,26,750,0.0140793785653598
day2,temperature,26,850,0.0172351013472508
day2,temperature,26,950,0.015778613909455
day2,temperature,26,1050,0.0184488408787474
day2,temperature,26,1150,0.0263381478334749
day2,temperature,26,1250,0.0404175263988348
day2,temperature,26,1350,0.0605656026216773
day2,temperature,26,1450,0.0750091030464862
day2,temperature,26,1550,0.0884816118460978
day2,temperature,26,1650,0.0979487801917708
day2,temperature,26,1750,0.0966136667071246
day2,temperature,26,1850,0.086661002548853
day2,temperature,26,1950,0.0816846704697172
day2,temperature,26,2050,0.0644495691224663
day2,temperature,26,2150,0.0557106444956912
day2,temperature,26,2250,0.038232795242141
day2,temperature,26,2350,0.0330137152567059
day2,temperature,26,2450,0.0194198325039446
day2,temperature,26,2550,0.0123801432212647
day2,temperature,26,2650,0.0108022818303192
day2,temperature,26,2750,0.0054618278917344
day2,temperature,26,2850,0.0043694623133875
day2,temperature,26,2950,0.0032770967350406
day2,temperature,26,3050,0.0026702269692923
day2,temperature,26,3150,0.0029129748755916
day2,temperature,26,3250,0.0021847311566937
day2,temperature,26,3350,0.0014564874377958
day2,temperature,26,3450,0.0010923655783468
day3,temperature,26,550,0.0112701797136765
day3,temperature,26,650,0.0138592750533049
day3,temperature,26,750,0.0138592750533049
day3,temperature,26,850,0.0167529698446542
day3,temperature,26,950,0.0158391714894913
day3,temperature,26,1050,0.0245202558635394
day3,temperature,26,1150,0.0351812366737739
day3,temperature,26,1250,0.0501066098081023
day3,temperature,26,1350,0.0613767895217788
day3,temperature,26,1450,0.0825464514163874
day3,temperature,26,1550,0.092902832774901
day3,temperature,26,1650,0.0988425220834602
day3,temperature,26,1750,0.1014316174230886
day3,temperature,26,1850,0.0915321352421565
day3,temperature,26,1950,0.080871154431922
day3,temperature,26,2050,0.0598537922631739
day3,temperature,26,2150,0.0449284191288455
day3,temperature,26,2250,0.0328967407858665
day3,temperature,26,2350,0.0243679561376789
day3,temperature,26,2450,0.0141638745050258
day3,temperature,26,2550,0.0086810843740481
day3,temperature,26,2650,0.0082241851964666
day3,temperature,26,2750,0.0047212915016752
day3,temperature,26,2850,0.0041120925982333
day3,temperature,26,2950,0.0018275967103259
day3,temperature,26,3050,0.0018275967103259
day3,temperature,26,3150,0.0013706975327444
day3,temperature,26,3250,0.0010660980810234
day3,temperature,26,3350,0.0009137983551629
day3,temperature,26,3450,0.0001522997258604
day4,temperature,26,550,0.0165481878568931
day4,temperature,26,650,0.0174222118634191
day4,temperature,26,750,0.0234821116419997
day4,temperature,26,850,0.0276774268733247
day4,temperature,26,950,0.0326884978440741
day4,temperature,26,1050,0.0423027619158606
day4,temperature,26,1150,0.049935904906188
day4,temperature,26,1250,0.0706794079944062
day4,temperature,26,1350,0.0805267451345997
day4,temperature,26,1450,0.0968418599230858
day4,temperature,26,1550,0.0922969350891504
day4,temperature,26,1650,0.0868779862486889
day4,temperature,26,1750,0.0795361845938701
day4,temperature,26,1850,0.0698053839878802
day4,temperature,26,1950,0.0589674863069572
day4,temperature,26,2050,0.0428271763197762
day4,temperature,26,2150,0.0315814007691411
day4,temperature,26,2250,0.0235403799091015
day4,temperature,26,2350,0.0165481878568931
day4,temperature,26,2450,0.0120615312900594
day4,temperature,26,2550,0.0086237035310569
day4,temperature,26,2650,0.0054189488404614
day4,temperature,26,2750,0.0046614613681389
day4,temperature,26,2850,0.0034378277590024
day4,temperature,26,2950,0.0020976576156625
day4,temperature,26,3050,0.0011653653420347
day4,temperature,26,3150,0.0006992192052208
day4,temperature,26,3250,0.000874024006526
day4,temperature,26,3350,0.0004661461368138
day4,temperature,26,3450,0.0004078778697121
day5,temperature,26,550,0.0146914789422135
day5,temperature,26,650,0.017985931795922
day5,temperature,26,750,0.0213694239159469
day5,temperature,26,850,0.0251090731012376
day5,temperature,26,950,0.0354376279939453
day5,temperature,26,1050,0.0413142195708307
day5,temperature,26,1150,0.0604576618288665
day5,temperature,26,1250,0.0786216721574214
day5,temperature,26,1350,0.0987445463449381
day5,temperature,26,1450,0.1038197845249755
day5,temperature,26,1550,0.0998130175407354
day5,temperature,26,1650,0.0903748553111922
day5,temperature,26,1750,0.0731012376458018
day5,temperature,26,1850,0.0568070519098922
day5,temperature,26,1950,0.0527112456593357
day5,temperature,26,2050,0.0378416881844893
day5,temperature,26,2150,0.0270679369601994
day5,temperature,26,2250,0.0188763244590864
day5,temperature,26,2350,0.0135339684800997
day5,temperature,26,2450,0.0098833585611254
day5,temperature,26,2550,0.0057875523105689
day5,temperature,26,2650,0.0061437093758347
day5,temperature,26,2750,0.0037396491852907
day5,temperature,26,2850,0.0017807853263289
day5,temperature,26,2950,0.0015136675273795
day5,temperature,26,3050,0.0011575104621137
day5,temperature,26,3150,0.0009794319294809
day5,temperature,26,3250,0.0009794319294809
day5,temperature,26,3350,0.0001780785326328
day5,temperature,26,3450,0.0001780785326328
day6,temperature,26,550,0.0100627096397841
day6,temperature,26,650,0.0116669097272859
day6,temperature,26,750,0.0118613582227407
day6,temperature,26,850,0.0148266977784259
day6,temperature,26,950,0.0197851344125224
day6,temperature,26,1050,0.0306256380341257
day6,temperature,26,1150,0.0462301297943707
day6,temperature,26,1250,0.0705361917262165
day6,temperature,26,1350,0.0861892956103252
day6,temperature,26,1450,0.0947936415341986
day6,temperature,26,1550,0.0971270234796558
day6,temperature,26,1650,0.0953769870205629
day6,temperature,26,1750,0.0801127801273637
day6,temperature,26,1850,0.0759321374750862
day6,temperature,26,1950,0.0638763307568907
day6,temperature,26,2050,0.0535705604977881
day6,temperature,26,2150,0.0400077779398181
day6,temperature,26,2250,0.0323270623693549
day6,temperature,26,2350,0.0226046375966165
day6,temperature,26,2450,0.0166253463613825
day6,temperature,26,2550,0.0104516066306936
day6,temperature,26,2650,0.006611248845462
day6,temperature,26,2750,0.0036459092897768
day6,temperature,26,2850,0.0024792183170482
day6,temperature,26,2950,0.0012153030965922
day6,temperature,26,3050,0.0007291818579553
day6,temperature,26,3150,0.0002916727431821
day6,temperature,26,3250,0.0001944484954547
day6,temperature,26,3350,0.0001944484954547
day6,temperature,26,3450,4.86121238636916e-05
