time,condition_value,mu
day1,22,0.405465108
day1,24,0.810930216
day1,26,1.037987667
day1,28,0.737598943
day1,30,1.312186389
day2,22,0.725937003
day2,24,0.773189888
day2,26,0.672093771
day2,28,0.815749503
day2,30,0.730887509
day3,22,0.814508038
day3,24,0.802346473
day3,26,0.813291492
day3,28,0.844546827
day3,30,0.823200309
day4,22,0.700264648
day4,24,0.663990596
day4,26,0.774640215
day4,28,0.737598943
day4,30,0.854242333
day5,22,0.349557476
day5,24,0.519075523
day5,26,0.52806743
day5,28,0.580292691
day5,30,0.610216801
day6,22,0.58221562
day6,24,0.490910314
day6,26,0.47957308
day6,28,0.440251224
day6,30,0.291434422
