folder,images_count,cells_count,cells_in_500_3500
20250321/20250322,180,10426,10246
20250321/20250323,149,15368,15182
20250321/20250324,203,11215,11149
20250321/20250325,213,12843,12724
20250321/20250326,149,19383,19231
20250321/20250327,149,13231,13152
20250321/20250328,186,9853,9539
20250321/20250329,237,16904,15809
20250321/20250330,154,14675,13439
20250321/20250331,223,27304,26321
20250410/20250411/C,220,16761,16434
20250410/20250411/D,225,20492,20134
20250410/20250412/C,218,18362,18000
20250410/20250412/D,215,23574,23139
20250410/20250413/C,266,18022,17832
20250410/20250413/D,314,22783,22557
20250410/20250414/C,279,32273,31641
20250410/20250414/D,298,34173,33672
20250414/20250415/A,293,21694,21062
20250414/20250416/A,269,15616,15054
20250414/20250417/A,268,20684,19844
20250414/20250418/A,260,22983,22302
20250414/20250419/A,276,25868,25180
20250414/20250420/A,264,28324,27701
20250414/20250421/A,266,30583,29912
20250421/20250422,304,16574,16456
20250421/20250423 5PM/#1,224,14389,14283
20250421/20250423 5PM/#2,244,17841,17683
20250421/20250423 5PM/#3,252,16069,15935
20250421/20250423 5PM/#4,240,16940,16754
20250421/20250424 5PM/#1,230,21529,21349
20250421/20250424 5PM/#2,238,20245,20075
20250421/20250424 5PM/#3,259,23589,23307
20250421/20250424 5PM/#4,256,24193,23960
20250421/20250425 5PM/#1,225,30277,29964
20250421/20250425 5PM/#2,198,23390,23200
20250421/20250425 5PM/#3,206,28901,28655
20250421/20250425 5PM/#4,246,35039,34715
20250421/20250426 5PM/#1,211,27968,27510
20250421/20250426 5PM/#3,242,24790,24429
20250421/20250426 5PM/#4,214,19170,18942
20250421/20250427 5PM/#1,298,22244,22030
20250421/20250427 5PM/#3,298,26517,25661
20250421/20250427 5PM/#4,298,26740,25716
20250421/20250428 9AM/#1,298,20646,20306
20250421/20250428 9AM/#3,298,27914,27013
20250421/20250428 9AM/#4,298,25361,23339
