day,data,image_count
DAY2,data1,109
DAY2,data2,113
DAY2,data3,114
DAY2,data4,101
DAY2,data5,103
DAY2,data6,129
DAY3,data1,107
DAY3,data2,100
DAY3,data3,140
DAY3,data4,128
DAY3,data5,128
DAY3,data6,104
DAY4,data1,130
DAY4,data2,121
DAY4,data3,124
DAY4,data4,131
DAY4,data5,118
DAY4,data6,113
DAY5,data1,125
DAY5,data2,130
DAY5,data3,127
DAY5,data4,126
DAY5,data5,109
DAY5,data6,117
DAY6,data1,112
DAY6,data2,120
DAY6,data3,102
DAY6,data4,124
DAY6,data5,111
DAY6,data6,124
DAY7,data1,129
DAY7,data2,120
DAY7,data3,102
DAY7,data4,103
DAY7,data5,110
DAY7,data6,125
